ebay	.	101	3.418223539367318
onion/drugs/legal	,	79	1.8938138107769191
ebay	,	69	2.205339969601482
onion/drugs/legal	tablets	63	1.1644638092257082
ebay	the	63	1.6111436495557427
onion/drugs/legal	(	54	1.5727860066108406
onion/drugs/legal	)	53	1.5271730204112828
onion/drugs/legal	.	53	1.2383403801359236
onion/drugs/legal	for	47	1.037239343393594
ebay	to	47	1.1254758941940963
onion/drugs/legal	mg	43	1.4808168918825686
ebay	you	35	0.832997927442193
onion/drugs/legal	to	33	0.9436838822439313
ebay	and	32	0.7609718381427228
onion/drugs/legal	US$	30	0.5312362029217184
ebay	-	28	0.8712243484333158
onion/drugs/legal	each	28	0.4175119181163609
onion/drugs/legal	the	26	0.6983066401444376
onion/drugs/legal	blister	26	0.3351296754553914
onion/drugs/legal	100	25	0.775508048478514
ebay	us	24	0.49772735219448805
onion/drugs/legal	and	23	0.5341214500367641
onion/drugs/legal	$	22	1.3900645794346929
ebay	will	21	0.5896512451581657
ebay	of	20	0.4257179400883615
onion/drugs/legal	packs/10	19	0.2581508718430996
ebay	for	18	0.5857782275415957
onion/drugs/legal	:	18	0.5287844357080758
onion/drugs/legal	is	18	0.3469026042148471
onion/drugs/legal	x	18	0.2633187505416572
onion/drugs/legal	20	17	0.4424470360390842
onion/drugs/legal	by	17	0.38960195565596223
ebay	:	16	1.0441647823899984
ebay	We	16	0.7220605104230344
ebay	or	16	0.4737074454315007
ebay	in	16	0.3130482663400471
ebay	is	16	0.3581590699031949
onion/drugs/legal	10	16	0.2783690709620714
onion/drugs/legal	-	14	0.7552885850891471
onion/drugs/legal	generic	14	0.5006637200713158
onion/drugs/legal	manufactured	14	0.31122913490980864
ebay	are	14	0.32362823840230703
ebay	a	14	0.31495657935738564
ebay	with	14	0.2341707656159997
onion/drugs/legal	in	13	0.2793217343278229
